Date,White,Black,White Rating,Black Rating,Average Rating,Tournament,Organizer,Round Number,Result (W-B),Moves Played,,win?,,,winstreaks,total winstreaks,winrate
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.5,1-0,26,,1,5,,5,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.15,1-0,17,,1,6,,2,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.21,1-0,30,,1,7,,11,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.14,0-1,32,,1,8,,4,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.19,1-0,36,,1,9,,11,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.12,0-1,52,,1,10,,4,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.6,0-1,18,,1,11,,4,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.2,½-½,46,,1,12,,5,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.24,0-1,43,,1,13,,5,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.16,0-1,26,,1,14,,5,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.18,0-1,31,,1,15,,12,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.13,1-0,22,,1,16,,19,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.7,1-0,51,,1,17,,13,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.9,1-0,44,,1,18,,4,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.1,1-0,33,,1,19,,6,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.23,1-0,30,,1,20,,4,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.1,0-1,28,,1,21,,7,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.2,0-1,4,,1,22,,6,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.8,0-1,53,,1,23,23,7,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.4,1-0,74,,0,,,2,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.22,0-1,25,,1,1,,6,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.17,1-0,31,,1,2,,6,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.11,1-0,55,,1,3,,7,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.3,1-0,23,,1,4,,2,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.5,1-0,26,,1,5,,2,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.15,1-0,17,,1,6,,10,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.21,1-0,30,,1,7,,6,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.14,0-1,32,,1,8,,2,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.19,1-0,36,,1,9,,10,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.12,0-1,52,,1,10,,9,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.6,0-1,18,,1,11,,4,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.2,½-½,46,,1,12,,2,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.24,0-1,43,,1,13,,5,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.16,0-1,26,,1,14,,3,,
2023-07-17,OhanyanEmin,NakamuraHikaru,2379,2750,2564,Bullet Chess Winners 2023,chess.com INT,1.18,0-1,31,,1,15,,4,,
2023-07-17,NakamuraHikaru,OhanyanEmin,2750,2379,2564,Bullet Chess Winners 2023,chess.com INT,1.13,1-0,22,,1,16,,2,,
2023-07-18,NakamuraHikaru,PapasimakopoulosAlexandros,2750,2259,2504,Titled Tue 18th Jul Early,chess.com INT,3,1-0,45,,1,17,,5,,
2023-07-18,NakamuraHikaru,TangAndrew,2750,2508,2629,Titled Tue 18th Jul Late,chess.com INT,4,1-0,47,,1,18,,6,,
2023-07-18,NakamuraHikaru,DubovDaniil,2750,2711,2730,Titled Tue 18th Jul Early,chess.com INT,8,1-0,44,,1,19,,3,,
2023-07-18,NakamuraHikaru,XuXiangyu (CHN),2750,2564,2657,Titled Tue 18th Jul Early,chess.com INT,6,1-0,42,,1,20,,9,,
2023-07-18,NakamuraHikaru,SipilaVilka,2750,2409,2579,Titled Tue 18th Jul Late,chess.com INT,2,1-0,31,,1,21,,2,,
2023-07-18,NakamuraHikaru,AravindhChithambaram VR.,2750,2611,2680,Titled Tue 18th Jul Early,chess.com INT,5,1-0,36,,1,22,,2,,
2023-07-18,NakamuraHikaru,GarakovMikhael,2750,2447,2598,Titled Tue 18th Jul Early,chess.com INT,1,1-0,41,,1,23,,6,,
2023-07-18,NakamuraHikaru,TerryRenato,2750,2504,2627,Titled Tue 18th Jul Late,chess.com INT,9,1-0,30,,1,24,,3,,
2023-07-18,SaranaAlexey,NakamuraHikaru,2685,2750,2717,Titled Tue 18th Jul Early,chess.com INT,7,0-1,44,,1,25,25,9,,
2023-07-18,GalperinPlaton,NakamuraHikaru,2518,2750,2634,Titled Tue 18th Jul Early,chess.com INT,10,1-0,52,,0,,,2,,
2023-07-18,FirouzjaAlireza,NakamuraHikaru,2804,2750,2777,Titled Tue 18th Jul Early,chess.com INT,9,½-½,77,,1,1,,3,,
2023-07-18,NakamuraHikaru,KramnikVladimir,2750,2753,2751,Titled Tue 18th Jul Late,chess.com INT,11,1-0,43,,1,2,,3,,
2023-07-18,VitiugovNikita,NakamuraHikaru,2726,2750,2738,Titled Tue 18th Jul Early,chess.com INT,4,0-1,44,,1,3,,6,,
2023-07-18,SchwabenederFlorian,NakamuraHikaru,2439,2750,2594,Titled Tue 18th Jul Early,chess.com INT,2,0-1,40,,1,4,,3,,
2023-07-18,BazyrtsyrenovKirill,NakamuraHikaru,2147,2750,2448,Titled Tue 18th Jul Late,chess.com INT,3,0-1,53,,1,5,,6,,
2023-07-18,NakamuraHikaru,HeAnthony B,2750,2437,2593,Titled Tue 18th Jul Late,chess.com INT,6,1-0,39,,1,6,,14,,
2023-07-18,NakamuraHikaru,PapasimakopoulosAlexandros,2750,2259,2504,Titled Tue 18th Jul Early,chess.com INT,3,1-0,45,,1,7,,4,,
2023-07-18,NakamuraHikaru,TangAndrew,2750,2508,2629,Titled Tue 18th Jul Late,chess.com INT,4,1-0,47,,1,8,,14,,
2023-07-18,NakamuraHikaru,DubovDaniil,2750,2711,2730,Titled Tue 18th Jul Early,chess.com INT,8,1-0,44,,1,9,,3,,
2023-07-18,NakamuraHikaru,XuXiangyu (CHN),2750,2564,2657,Titled Tue 18th Jul Early,chess.com INT,6,1-0,42,,1,10,,2,,
2023-07-18,NakamuraHikaru,SipilaVilka,2750,2409,2579,Titled Tue 18th Jul Late,chess.com INT,2,1-0,31,,1,11,,3,,
2023-07-18,NakamuraHikaru,AravindhChithambaram VR.,2750,2611,2680,Titled Tue 18th Jul Early,chess.com INT,5,1-0,36,,1,12,,3,,
2023-07-18,NakamuraHikaru,GarakovMikhael,2750,2447,2598,Titled Tue 18th Jul Early,chess.com INT,1,1-0,41,,1,13,,3,,
2023-07-18,NakamuraHikaru,TerryRenato,2750,2504,2627,Titled Tue 18th Jul Late,chess.com INT,9,1-0,30,,1,14,,7,,
2023-07-18,SaranaAlexey,NakamuraHikaru,2685,2750,2717,Titled Tue 18th Jul Early,chess.com INT,7,0-1,44,,1,15,15,2,,
2023-07-18,GalperinPlaton,NakamuraHikaru,2518,2750,2634,Titled Tue 18th Jul Early,chess.com INT,10,1-0,52,,0,,,3,,
2023-07-18,FirouzjaAlireza,NakamuraHikaru,2804,2750,2777,Titled Tue 18th Jul Early,chess.com INT,9,½-½,77,,1,1,,3,,
2023-07-18,NakamuraHikaru,KramnikVladimir,2750,2753,2751,Titled Tue 18th Jul Late,chess.com INT,11,1-0,43,,1,2,,3,,
2023-07-18,VitiugovNikita,NakamuraHikaru,2726,2750,2738,Titled Tue 18th Jul Early,chess.com INT,4,0-1,44,,1,3,,7,,
2023-07-18,SchwabenederFlorian,NakamuraHikaru,2439,2750,2594,Titled Tue 18th Jul Early,chess.com INT,2,0-1,40,,1,4,,2,,
2023-07-18,BazyrtsyrenovKirill,NakamuraHikaru,2147,2750,2448,Titled Tue 18th Jul Late,chess.com INT,3,0-1,53,,1,5,,2,,
2023-07-18,NakamuraHikaru,HeAnthony B,2750,2437,2593,Titled Tue 18th Jul Late,chess.com INT,6,1-0,39,,1,6,,3,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.2,½-½,65,,1,7,,7,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.28,0-1,37,,1,8,,2,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.14,0-1,27,,1,9,,2,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.16,0-1,48,,1,10,10,3,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.2,1-0,82,,0,,,7,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.18,½-½,55,,1,1,,2,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.3,0-1,43,,1,2,2,7,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.32,1-0,49,,0,,,7,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.7,1-0,39,,1,1,,18,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.27,½-½,72,,1,2,,18,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.4,0-1,29,,1,3,,11,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.19,1-0,37,,1,4,4,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.31,0-1,18,,0,,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.11,0-1,56,,0,,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.17,1-0,29,,1,1,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.15,1-0,28,,1,2,2,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.13,0-1,41,,0,,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.29,1-0,32,,1,1,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.1,0-1,44,,1,2,2,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.8,1-0,37,,0,,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.6,1-0,34,,0,,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.12,0-1,38,,1,1,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.21,0-1,16,,0,,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.23,0-1,30,,0,,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.5,1-0,34,,1,1,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.24,0-1,26,,1,2,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.22,0-1,33,,1,3,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.1,1-0,19,,1,4,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.3,1-0,79,,1,5,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.25,1-0,18,,1,6,6,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.9,0-1,42,,0,,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.26,½-½,64,,1,1,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.2,½-½,65,,1,2,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.28,0-1,37,,1,3,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.14,0-1,27,,1,4,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.16,0-1,48,,1,5,5,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.2,1-0,82,,0,,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.18,½-½,55,,1,1,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.3,0-1,43,,1,2,2,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.32,1-0,49,,0,,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.7,1-0,39,,1,1,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.27,½-½,72,,1,2,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.4,0-1,29,,1,3,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.19,1-0,37,,1,4,4,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.31,0-1,18,,0,,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.11,0-1,56,,0,,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.17,1-0,29,,1,1,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.15,1-0,28,,1,2,2,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.13,0-1,41,,0,,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.29,1-0,32,,1,1,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.1,0-1,44,,1,2,2,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.8,1-0,37,,0,,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.6,1-0,34,,0,,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.12,0-1,38,,1,1,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.21,0-1,16,,0,,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.23,0-1,30,,0,,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.5,1-0,34,,1,1,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.24,0-1,26,,1,2,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.22,0-1,33,,1,3,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.1,1-0,19,,1,4,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.3,1-0,79,,1,5,,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.25,1-0,18,,1,6,6,,,
2023-07-19,NakamuraHikaru,NaroditskyDaniel,2750,2616,2683,Bullet Chess Winners 2023,chess.com INT,3.9,0-1,42,,0,,,,,
2023-07-19,NaroditskyDaniel,NakamuraHikaru,2616,2750,2683,Bullet Chess Winners 2023,chess.com INT,3.26,½-½,64,,1,1,,,,
2023-07-20,NakamuraHikaru,FirouzjaAlireza,2750,2804,2777,Bullet Chess Winners 2023,chess.com INT,4.9,0-1,18,,0,,,,,
2023-07-20,NakamuraHikaru,FirouzjaAlireza,2750,2804,2777,Bullet Chess Winners 2023,chess.com INT,4.13,0-1,34,,0,,,,,
2023-07-20,NakamuraHikaru,FirouzjaAlireza,2750,2804,2777,Bullet Chess Winners 2023,chess.com INT,4.11,1-0,45,,1,1,,,,
2023-07-20,NakamuraHikaru,FirouzjaAlireza,2750,2804,2777,Bullet Chess Winners 2023,chess.com INT,4.1,½-½,48,,1,2,,,,
2023-07-20,FirouzjaAlireza,NakamuraHikaru,2804,2750,2777,Bullet Chess Winners 2023,chess.com INT,4.24,½-½,36,,1,3,3,,,
2023-07-20,FirouzjaAlireza,NakamuraHikaru,2804,2750,2777,Bullet Chess Winners 2023,chess.com INT,4.16,1-0,24,,0,,,,,
2023-07-20,FirouzjaAlireza,NakamuraHikaru,2804,2750,2777,Bullet Chess Winners 2023,chess.com INT,4.22,1-0,42,,0,,,,,
2023-07-20,FirouzjaAlireza,NakamuraHikaru,2804,2750,2777,Bullet Chess Winners 2023,chess.com INT,4.26,0-1,45,,1,1,,,,
2023-07-20,NakamuraHikaru,FirouzjaAlireza,2750,2804,2777,Bullet Chess Winners 2023,chess.com INT,4.23,0-1,63,,0,,,,,
2023-07-20,NakamuraHikaru,FirouzjaAlireza,2750,2804,2777,Bullet Chess Winners 2023,chess.com INT,4.19,1-0,38,,1,1,,,,
2023-07-20,NakamuraHikaru,FirouzjaAlireza,2750,2804,2777,Bullet Chess Winners 2023,chess.com INT,4.27,1-0,34,,1,2,,,,
